Wavelength,a_I,b_IA,c_IB,d_II,e_III,f_1C,g_3C,h_5C,i_7C,j_9C
368,0.0447,0.0593,0.0755,0.1368,0.2480,0.9120,1.2680,1.7960,2.3520,3.2520
369,0.0438,0.0582,0.0742,0.1347,0.2440,0.8960,1.2440,1.7680,2.3160,3.2160
370,0.0428,0.0572,0.0728,0.1326,0.2400,0.8800,1.2200,1.7400,2.2800,3.1800
371,0.0418,0.0562,0.0714,0.1305,0.2360,0.8640,1.1960,1.7120,2.2440,3.1440
372,0.0409,0.0551,0.0701,0.1284,0.2320,0.8480,1.1720,1.6840,2.2080,3.1080
373,0.0399,0.0541,0.0687,0.1262,0.2280,0.8320,1.1480,1.6560,2.1720,3.0720
374,0.0390,0.0530,0.0674,0.1241,0.2240,0.8160,1.1240,1.6280,2.1360,3.0360
375,0.0380,0.0520,0.0660,0.1220,0.2200,0.8000,1.1000,1.6000,2.1000,3.0000
376,0.0376,0.0514,0.0654,0.1210,0.2186,0.7884,1.0872,1.5800,2.0800,2.9760
377,0.0372,0.0509,0.0648,0.1199,0.2172,0.7768,1.0744,1.5600,2.0600,2.9520
378,0.0368,0.0503,0.0642,0.1189,0.2158,0.7652,1.0616,1.5400,2.0400,2.9280
379,0.0364,0.0498,0.0636,0.1178,0.2144,0.7536,1.0488,1.5200,2.0200,2.9040
380,0.0360,0.0492,0.0630,0.1168,0.2130,0.7420,1.0360,1.5000,2.0000,2.8800
381,0.0356,0.0486,0.0624,0.1158,0.2116,0.7304,1.0232,1.4800,1.9800,2.8560
382,0.0352,0.0481,0.0618,0.1147,0.2102,0.7188,1.0104,1.4600,1.9600,2.8320
383,0.0348,0.0475,0.0612,0.1137,0.2088,0.7072,0.9976,1.4400,1.9400,2.8080
384,0.0344,0.0470,0.0606,0.1126,0.2074,0.6956,0.9848,1.4200,1.9200,2.7840
385,0.0340,0.0464,0.0600,0.1116,0.2060,0.6840,0.9720,1.4000,1.9000,2.7600
386,0.0336,0.0458,0.0594,0.1106,0.2046,0.6724,0.9592,1.3800,1.8800,2.7360
387,0.0332,0.0453,0.0588,0.1095,0.2032,0.6608,0.9464,1.3600,1.8600,2.7120
388,0.0328,0.0447,0.0582,0.1085,0.2018,0.6492,0.9336,1.3400,1.8400,2.6880
389,0.0324,0.0442,0.0576,0.1074,0.2004,0.6376,0.9208,1.3200,1.8200,2.6640
390,0.0320,0.0436,0.0570,0.1064,0.1990,0.6260,0.9080,1.3000,1.8000,2.6400
391,0.0316,0.0430,0.0564,0.1054,0.1976,0.6144,0.8952,1.2800,1.7800,2.6160
392,0.0312,0.0425,0.0558,0.1043,0.1962,0.6028,0.8824,1.2600,1.7600,2.5920
393,0.0308,0.0419,0.0552,0.1033,0.1948,0.5912,0.8696,1.2400,1.7400,2.5680
394,0.0304,0.0414,0.0546,0.1022,0.1934,0.5796,0.8568,1.2200,1.7200,2.5440
395,0.0300,0.0408,0.0540,0.1012,0.1920,0.5680,0.8440,1.2000,1.7000,2.5200
396,0.0296,0.0402,0.0534,0.1002,0.1906,0.5564,0.8312,1.1800,1.6800,2.4960
397,0.0292,0.0397,0.0528,0.0991,0.1892,0.5448,0.8184,1.1600,1.6600,2.4720
398,0.0288,0.0391,0.0522,0.0981,0.1878,0.5332,0.8056,1.1400,1.6400,2.4480
399,0.0284,0.0386,0.0516,0.0970,0.1864,0.5216,0.7928,1.1200,1.6200,2.4240
400,0.0280,0.0380,0.0510,0.0960,0.1850,0.5100,0.7800,1.1000,1.6000,2.4000
401,0.0278,0.0377,0.0506,0.0954,0.1840,0.5040,0.7704,1.0872,1.5840,2.3800
402,0.0275,0.0374,0.0503,0.0948,0.1830,0.4980,0.7608,1.0744,1.5680,2.3600
403,0.0273,0.0372,0.0499,0.0942,0.1820,0.4920,0.7512,1.0616,1.5520,2.3400
404,0.0270,0.0369,0.0496,0.0936,0.1810,0.4860,0.7416,1.0488,1.5360,2.3200
405,0.0268,0.0366,0.0492,0.0930,0.1800,0.4800,0.7320,1.0360,1.5200,2.3000
406,0.0266,0.0363,0.0488,0.0924,0.1790,0.4740,0.7224,1.0232,1.5040,2.2800
407,0.0263,0.0360,0.0485,0.0918,0.1780,0.4680,0.7128,1.0104,1.4880,2.2600
408,0.0261,0.0358,0.0481,0.0912,0.1770,0.4620,0.7032,0.9976,1.4720,2.2400
409,0.0258,0.0355,0.0478,0.0906,0.1760,0.4560,0.6936,0.9848,1.4560,2.2200
410,0.0256,0.0352,0.0474,0.0900,0.1750,0.4500,0.6840,0.9720,1.4400,2.2000
411,0.0254,0.0349,0.0470,0.0894,0.1740,0.4440,0.6744,0.9592,1.4240,2.1800
412,0.0251,0.0346,0.0467,0.0888,0.1730,0.4380,0.6648,0.9464,1.4080,2.1600
413,0.0249,0.0344,0.0463,0.0882,0.1720,0.4320,0.6552,0.9336,1.3920,2.1400
414,0.0246,0.0341,0.0460,0.0876,0.1710,0.4260,0.6456,0.9208,1.3760,2.1200
415,0.0244,0.0338,0.0456,0.0870,0.1700,0.4200,0.6360,0.9080,1.3600,2.1000
416,0.0242,0.0335,0.0452,0.0864,0.1690,0.4140,0.6264,0.8952,1.3440,2.0800
417,0.0239,0.0332,0.0449,0.0858,0.1680,0.4080,0.6168,0.8824,1.3280,2.0600
418,0.0237,0.0330,0.0445,0.0852,0.1670,0.4020,0.6072,0.8696,1.3120,2.0400
419,0.0234,0.0327,0.0442,0.0846,0.1660,0.3960,0.5976,0.8568,1.2960,2.0200
420,0.0232,0.0324,0.0438,0.0840,0.1650,0.3900,0.5880,0.8440,1.2800,2.0000
421,0.0230,0.0321,0.0434,0.0834,0.1640,0.3840,0.5784,0.8312,1.2640,1.9800
422,0.0227,0.0318,0.0431,0.0828,0.1630,0.3780,0.5688,0.8184,1.2480,1.9600
423,0.0225,0.0316,0.0427,0.0822,0.1620,0.3720,0.5592,0.8056,1.2320,1.9400
424,0.0222,0.0313,0.0424,0.0816,0.1610,0.3660,0.5496,0.7928,1.2160,1.9200
425,0.0220,0.0310,0.0420,0.0810,0.1600,0.3600,0.5400,0.7800,1.2000,1.9000
426,0.0219,0.0308,0.0418,0.0805,0.1590,0.3556,0.5340,0.7712,1.1876,1.8880
