Wavelength,a_I,b_IA,c_IB,d_II,e_III,f_1C,g_3C,h_5C,i_7C,j_9C
572,0.0859,0.0908,0.0958,0.1119,0.1446,0.1464,0.2076,0.3264,0.4600,0.5860
573,0.0869,0.0918,0.0968,0.1129,0.1458,0.1476,0.2084,0.3276,0.4600,0.5840
574,0.0880,0.0929,0.0979,0.1140,0.1469,0.1488,0.2092,0.3288,0.4600,0.5820
575,0.0890,0.0940,0.0990,0.1150,0.1480,0.1500,0.2100,0.3300,0.4600,0.5800
576,0.0948,0.0998,0.1048,0.1208,0.1539,0.1560,0.2148,0.3328,0.4608,0.5808
577,0.1007,0.1057,0.1107,0.1266,0.1598,0.1620,0.2196,0.3356,0.4616,0.5816
578,0.1065,0.1115,0.1165,0.1324,0.1656,0.1680,0.2244,0.3384,0.4624,0.5824
579,0.1124,0.1174,0.1224,0.1382,0.1715,0.1740,0.2292,0.3412,0.4632,0.5832
580,0.1182,0.1232,0.1282,0.1440,0.1774,0.1800,0.2340,0.3440,0.4640,0.5840
581,0.1240,0.1290,0.1340,0.1498,0.1833,0.1860,0.2388,0.3468,0.4648,0.5848
582,0.1299,0.1349,0.1399,0.1556,0.1892,0.1920,0.2436,0.3496,0.4656,0.5856
583,0.1357,0.1407,0.1457,0.1614,0.1950,0.1980,0.2484,0.3524,0.4664,0.5864
584,0.1416,0.1466,0.1516,0.1672,0.2009,0.2040,0.2532,0.3552,0.4672,0.5872
585,0.1474,0.1524,0.1574,0.1730,0.2068,0.2100,0.2580,0.3580,0.4680,0.5880
586,0.1532,0.1582,0.1632,0.1788,0.2127,0.2160,0.2628,0.3608,0.4688,0.5888
587,0.1591,0.1641,0.1691,0.1846,0.2186,0.2220,0.2676,0.3636,0.4696,0.5896
588,0.1649,0.1699,0.1749,0.1904,0.2244,0.2280,0.2724,0.3664,0.4704,0.5904
589,0.1708,0.1758,0.1808,0.1962,0.2303,0.2340,0.2772,0.3692,0.4712,0.5912
590,0.1766,0.1816,0.1866,0.2020,0.2362,0.2400,0.2820,0.3720,0.4720,0.5920
591,0.1824,0.1874,0.1924,0.2078,0.2421,0.2460,0.2868,0.3748,0.4728,0.5928
592,0.1883,0.1933,0.1983,0.2136,0.2480,0.2520,0.2916,0.3776,0.4736,0.5936
593,0.1941,0.1991,0.2041,0.2194,0.2538,0.2580,0.2964,0.3804,0.4744,0.5944
594,0.2000,0.2050,0.2100,0.2252,0.2597,0.2640,0.3012,0.3832,0.4752,0.5952
595,0.2058,0.2108,0.2158,0.2310,0.2656,0.2700,0.3060,0.3860,0.4760,0.5960
596,0.2116,0.2166,0.2216,0.2368,0.2715,0.2760,0.3108,0.3888,0.4768,0.5968
597,0.2175,0.2225,0.2275,0.2426,0.2774,0.2820,0.3156,0.3916,0.4776,0.5976
598,0.2233,0.2283,0.2333,0.2484,0.2832,0.2880,0.3204,0.3944,0.4784,0.5984
599,0.2292,0.2342,0.2392,0.2542,0.2891,0.2940,0.3252,0.3972,0.4792,0.5992
600,0.2350,0.2400,0.2450,0.2600,0.2950,0.3000,0.3300,0.4000,0.4800,0.6000
601,0.2378,0.2428,0.2478,0.2630,0.2982,0.3028,0.3328,0.4032,0.4824,0.6020
602,0.2406,0.2456,0.2506,0.2660,0.3014,0.3056,0.3356,0.4064,0.4848,0.6040
603,0.2434,0.2484,0.2534,0.2690,0.3046,0.3084,0.3384,0.4096,0.4872,0.6060
604,0.2462,0.2512,0.2562,0.2720,0.3078,0.3112,0.3412,0.4128,0.4896,0.6080
605,0.2490,0.2540,0.2590,0.2750,0.3110,0.3140,0.3440,0.4160,0.4920,0.6100
606,0.2518,0.2568,0.2618,0.2780,0.3142,0.3168,0.3468,0.4192,0.4944,0.6120
607,0.2546,0.2596,0.2646,0.2810,0.3174,0.3196,0.3496,0.4224,0.4968,0.6140
608,0.2574,0.2624,0.2674,0.2840,0.3206,0.3224,0.3524,0.4256,0.4992,0.6160
609,0.2602,0.2652,0.2702,0.2870,0.3238,0.3252,0.3552,0.4288,0.5016,0.6180
610,0.2630,0.2680,0.2730,0.2900,0.3270,0.3280,0.3580,0.4320,0.5040,0.6200
611,0.2658,0.2708,0.2758,0.2930,0.3302,0.3308,0.3608,0.4352,0.5064,0.6220
612,0.2686,0.2736,0.2786,0.2960,0.3334,0.3336,0.3636,0.4384,0.5088,0.6240
613,0.2714,0.2764,0.2814,0.2990,0.3366,0.3364,0.3664,0.4416,0.5112,0.6260
614,0.2742,0.2792,0.2842,0.3020,0.3398,0.3392,0.3692,0.4448,0.5136,0.6280
615,0.2770,0.2820,0.2870,0.3050,0.3430,0.3420,0.3720,0.4480,0.5160,0.6300
616,0.2798,0.2848,0.2898,0.3080,0.3462,0.3448,0.3748,0.4512,0.5184,0.6320
617,0.2826,0.2876,0.2926,0.3110,0.3494,0.3476,0.3776,0.4544,0.5208,0.6340
618,0.2854,0.2904,0.2954,0.3140,0.3526,0.3504,0.3804,0.4576,0.5232,0.6360
619,0.2882,0.2932,0.2982,0.3170,0.3558,0.3532,0.3832,0.4608,0.5256,0.6380
620,0.2910,0.2960,0.3010,0.3200,0.3590,0.3560,0.3860,0.4640,0.5280,0.6400
621,0.2938,0.2988,0.3038,0.3230,0.3622,0.3588,0.3888,0.4672,0.5304,0.6420
622,0.2966,0.3016,0.3066,0.3260,0.3654,0.3616,0.3916,0.4704,0.5328,0.6440
623,0.2994,0.3044,0.3094,0.3290,0.3686,0.3644,0.3944,0.4736,0.5352,0.6460
624,0.3022,0.3072,0.3122,0.3320,0.3718,0.3672,0.3972,0.4768,0.5376,0.6480
625,0.3050,0.3100,0.3150,0.3350,0.3750,0.3700,0.4000,0.4800,0.5400,0.6500
626,0.3072,0.3124,0.3174,0.3376,0.3778,0.3732,0.4024,0.4824,0.5436,0.6544
627,0.3094,0.3148,0.3198,0.3402,0.3806,0.3764,0.4048,0.4848,0.5472,0.6588
628,0.3116,0.3172,0.3222,0.3428,0.3834,0.3796,0.4072,0.4872,0.5508,0.6632
629,0.3138,0.3196,0.3246,0.3454,0.3862,0.3828,0.4096,0.4896,0.5544,0.6676
630,0.3160,0.3220,0.3270,0.3480,0.3890,0.3860,0.4120,0.4920,0.5580,0.6720
631,0.3182,0.3244,0.3294,0.3506,0.3918,0.3892,0.4144,0.4944,0.5616,0.6764
632,0.3204,0.3268,0.3318,0.3532,0.3946,0.3924,0.4168,0.4968,0.5652,0.6808
633,0.3226,0.3292,0.3342,0.3558,0.3974,0.3956,0.4192,0.4992,0.5688,0.6852
634,0.3248,0.3316,0.3366,0.3584,0.4002,0.3988,0.4216,0.5016,0.5724,0.6896
635,0.3270,0.3340,0.3390,0.3610,0.4030,0.4020,0.4240,0.5040,0.5760,0.6940
636,0.3292,0.3364,0.3414,0.3636,0.4058,0.4052,0.4264,0.5064,0.5796,0.6984
637,0.3314,0.3388,0.3438,0.3662,0.4086,0.4084,0.4288,0.5088,0.5832,0.7028
638,0.3336,0.3412,0.3462,0.3688,0.4114,0.4116,0.4312,0.5112,0.5868,0.7072
639,0.3358,0.3436,0.3486,0.3714,0.4142,0.4148,0.4336,0.5136,0.5904,0.7116
640,0.3380,0.3460,0.3510,0.3740,0.4170,0.4180,0.4360,0.5160,0.5940,0.7160
641,0.3402,0.3484,0.3534,0.3766,0.4198,0.4212,0.4384,0.5184,0.5976,0.7204
642,0.3424,0.3508,0.3558,0.3792,0.4226,0.4244,0.4408,0.5208,0.6012,0.7248
643,0.3446,0.3532,0.3582,0.3818,0.4254,0.4276,0.4432,0.5232,0.6048,0.7292
644,0.3468,0.3556,0.3606,0.3844,0.4282,0.4308,0.4456,0.5256,0.6084,0.7336
645,0.3490,0.3580,0.3630,0.3870,0.4310,0.4340,0.4480,0.5280,0.6120,0.7380
646,0.3512,0.3604,0.3654,0.3896,0.4338,0.4372,0.4504,0.5304,0.6156,0.7424
647,0.3534,0.3628,0.3678,0.3922,0.4366,0.4404,0.4528,0.5328,0.6192,0.7468
648,0.3556,0.3652,0.3702,0.3948,0.4394,0.4436,0.4552,0.5352,0.6228,0.7512
649,0.3578,0.3676,0.3726,0.3974,0.4422,0.4468,0.4576,0.5376,0.6264,0.7556
650,0.3600,0.3700,0.3750,0.4000,0.4450,0.4500,0.4600,0.5400,0.6300,0.7600
651,0.3624,0.3724,0.3774,0.4026,0.4480,0.4524,0.4640,0.5444,0.6360,0.7664
652,0.3648,0.3748,0.3798,0.4052,0.4510,0.4548,0.4680,0.5488,0.6420,0.7728
653,0.3672,0.3772,0.3822,0.4078,0.4540,0.4572,0.4720,0.5532,0.6480,0.7792
654,0.3696,0.3796,0.3846,0.4104,0.4570,0.4596,0.4760,0.5576,0.6540,0.7856
655,0.3720,0.3820,0.3870,0.4130,0.4600,0.4620,0.4800,0.5620,0.6600,0.7920
656,0.3744,0.3844,0.3894,0.4156,0.4630,0.4644,0.4840,0.5664,0.6660,0.7984
657,0.3768,0.3868,0.3918,0.4182,0.4660,0.4668,0.4880,0.5708,0.6720,0.8048
658,0.3792,0.3892,0.3942,0.4208,0.4690,0.4692,0.4920,0.5752,0.6780,0.8112
659,0.3816,0.3916,0.3966,0.4234,0.4720,0.4716,0.4960,0.5796,0.6840,0.8176
660,0.3840,0.3940,0.3990,0.4260,0.4750,0.4740,0.5000,0.5840,0.6900,0.8240
661,0.3864,0.3964,0.4014,0.4286,0.4780,0.4764,0.5040,0.5884,0.6960,0.8304
662,0.3888,0.3988,0.4038,0.4312,0.4810,0.4788,0.5080,0.5928,0.7020,0.8368
663,0.3912,0.4012,0.4062,0.4338,0.4840,0.4812,0.5120,0.5972,0.7080,0.8432
664,0.3936,0.4036,0.4086,0.4364,0.4870,0.4836,0.5160,0.6016,0.7140,0.8496
665,0.3960,0.4060,0.4110,0.4390,0.4900,0.4860,0.5200,0.6060,0.7200,0.8560
666,0.3984,0.4084,0.4134,0.4416,0.4930,0.4884,0.5240,0.6104,0.7260,0.8624
667,0.4008,0.4108,0.4158,0.4442,0.4960,0.4908,0.5280,0.6148,0.7320,0.8688
668,0.4032,0.4132,0.4182,0.4468,0.4990,0.4932,0.5320,0.6192,0.7380,0.8752
669,0.4056,0.4156,0.4206,0.4494,0.5020,0.4956,0.5360,0.6236,0.7440,0.8816
670,0.4080,0.4180,0.4230,0.4520,0.5050,0.4980,0.5400,0.6280,0.7500,0.8880
671,0.4104,0.4204,0.4254,0.4546,0.5080,0.5004,0.5440,0.6324,0.7560,0.8944
672,0.4128,0.4228,0.4278,0.4572,0.5110,0.5028,0.5480,0.6368,0.7620,0.9008
673,0.4152,0.4252,0.4302,0.4598,0.5140,0.5052,0.5520,0.6412,0.7680,0.9072
674,0.4176,0.4276,0.4326,0.4624,0.5170,0.5076,0.5560,0.6456,0.7740,0.9136
675,0.4200,0.4300,0.4350,0.4650,0.5200,0.5100,0.5600,0.6500,0.7800,0.9200
676,0.4256,0.4356,0.4408,0.4708,0.5256,0.5156,0.5660,0.6560,0.7856,0.9272
677,0.4312,0.4412,0.4466,0.4766,0.5312,0.5212,0.5720,0.6620,0.7912,0.9344
678,0.4368,0.4468,0.4524,0.4824,0.5368,0.5268,0.5780,0.6680,0.7968,0.9416
679,0.4424,0.4524,0.4582,0.4882,0.5424,0.5324,0.5840,0.6740,0.8024,0.9488
680,0.4480,0.4580,0.4640,0.4940,0.5480,0.5380,0.5900,0.6800,0.8080,0.9560
681,0.4536,0.4636,0.4698,0.4998,0.5536,0.5436,0.5960,0.6860,0.8136,0.9632
682,0.4592,0.4692,0.4756,0.5056,0.5592,0.5492,0.6020,0.6920,0.8192,0.9704
683,0.4648,0.4748,0.4814,0.5114,0.5648,0.5548,0.6080,0.6980,0.8248,0.9776
684,0.4704,0.4804,0.4872,0.5172,0.5704,0.5604,0.6140,0.7040,0.8304,0.9848
685,0.4760,0.4860,0.4930,0.5230,0.5760,0.5660,0.6200,0.7100,0.8360,0.9920
686,0.4816,0.4916,0.4988,0.5288,0.5816,0.5716,0.6260,0.7160,0.8416,0.9992
687,0.4872,0.4972,0.5046,0.5346,0.5872,0.5772,0.6320,0.7220,0.8472,1.0064
688,0.4928,0.5028,0.5104,0.5404,0.5928,0.5828,0.6380,0.7280,0.8528,1.0136
689,0.4984,0.5084,0.5162,0.5462,0.5984,0.5884,0.6440,0.7340,0.8584,1.0208
690,0.5040,0.5140,0.5220,0.5520,0.6040,0.5940,0.6500,0.7400,0.8640,1.0280
691,0.5096,0.5196,0.5278,0.5578,0.6096,0.5996,0.6560,0.7460,0.8696,1.0352
692,0.5152,0.5252,0.5336,0.5636,0.6152,0.6052,0.6620,0.7520,0.8752,1.0424
693,0.5208,0.5308,0.5394,0.5694,0.6208,0.6108,0.6680,0.7580,0.8808,1.0496
694,0.5264,0.5364,0.5452,0.5752,0.6264,0.6164,0.6740,0.7640,0.8864,1.0568
695,0.5320,0.5420,0.5510,0.5810,0.6320,0.6220,0.6800,0.7700,0.8920,1.0640
696,0.5376,0.5476,0.5568,0.5868,0.6376,0.6276,0.6860,0.7760,0.8976,1.0712
697,0.5432,0.5532,0.5626,0.5926,0.6432,0.6332,0.6920,0.7820,0.9032,1.0784
698,0.5488,0.5588,0.5684,0.5984,0.6488,0.6388,0.6980,0.7880,0.9088,1.0856
699,0.5544,0.5644,0.5742,0.6042,0.6544,0.6444,0.7040,0.7940,0.9144,1.0928
700,0.5600,0.5700,0.5800,0.6100,0.6600,0.6500,0.7100,0.8000,0.9200,1.1000
701,0.5656,0.5756,0.5858,0.6158,0.6656,0.6556,0.7160,0.8060,0.9256,1.1072
702,0.5712,0.5812,0.5916,0.6216,0.6712,0.6612,0.7220,0.8120,0.9312,1.1144
703,0.5768,0.5868,0.5974,0.6274,0.6768,0.6668,0.7280,0.8180,0.9368,1.1216
704,0.5824,0.5924,0.6032,0.6332,0.6824,0.6724,0.7340,0.8240,0.9424,1.1288
705,0.5880,0.5980,0.6090,0.6390,0.6880,0.6780,0.7400,0.8300,0.9480,1.1360
706,0.5936,0.6036,0.6148,0.6448,0.6936,0.6836,0.7460,0.8360,0.9536,1.1432
707,0.5992,0.6092,0.6206,0.6506,0.6992,0.6892,0.7520,0.8420,0.9592,1.1504
708,0.6048,0.6148,0.6264,0.6564,0.7048,0.6948,0.7580,0.8480,0.9648,1.1576
709,0.6104,0.6204,0.6322,0.6622,0.7104,0.7004,0.7640,0.8540,0.9704,1.1648
710,0.6160,0.6260,0.6380,0.6680,0.7160,0.7060,0.7700,0.8600,0.9760,1.1720
711,0.6216,0.6316,0.6438,0.6738,0.7216,0.7116,0.7760,0.8660,0.9816,1.1792
712,0.6272,0.6372,0.6496,0.6796,0.7272,0.7172,0.7820,0.8720,0.9872,1.1864
713,0.6328,0.6428,0.6554,0.6854,0.7328,0.7228,0.7880,0.8780,0.9928,1.1936
714,0.6384,0.6484,0.6612,0.6912,0.7384,0.7284,0.7940,0.8840,0.9984,1.2008
715,0.6440,0.6540,0.6670,0.6970,0.7440,0.7340,0.8000,0.8900,1.0040,1.2080
,,,,,,,,,,
